Date,Daily Confirmed Cases
2021-06-25,
2021-06-26,20.0
2021-06-27,17.0
2021-06-28,14.0
2021-06-29,9.0
2021-06-30,354.0
2021-07-01,-328.0
2021-07-02,10.0
2021-07-03,10.0
2021-07-04,7.0
2021-07-05,11.0
2021-07-06,13.0
2021-07-07,10.0
2021-07-08,12.0
2021-07-09,16.0
2021-07-10,10.0
2021-07-11,6.0
2021-07-12,8.0
2021-07-13,26.0
2021-07-14,26.0
2021-07-15,60.0
2021-07-16,48.0
2021-07-17,61.0
2021-07-18,160.0
2021-07-19,0.0
2021-07-20,172.0
2021-07-21,195.0
2021-07-22,181.0
2021-07-23,170.0
2021-07-24,133.0
2021-07-25,130.0
2021-07-26,125.0
2021-07-27,135.0
2021-07-28,139.0
2021-07-29,136.0
2021-07-30,133.0
2021-07-31,139.0
2021-08-01,120.0
2021-08-02,121.0
2021-08-03,111.0
2021-08-04,102.0
2021-08-05,95.0
2021-08-06,98.0
2021-08-07,97.0
2021-08-08,81.0
2021-08-09,78.0
2021-08-10,0.0
2021-08-11,72.0
2021-08-12,117.0
2021-08-13,59.0
2021-08-14,49.0
2021-08-15,58.0
2021-08-16,53.0
2021-08-17,53.0
2021-08-18,56.0
2021-08-19,53.0
2021-08-20,32.0
2021-08-21,40.0
2021-08-22,37.0
2021-08-23,35.0
2021-08-24,98.0
2021-08-25,116.0
2021-08-26,120.0
2021-08-27,116.0
2021-08-28,0.0
2021-08-29,243.0
2021-08-30,0.0
2021-08-31,288.0
2021-09-01,161.0
2021-09-02,180.0
2021-09-03,191.0
2021-09-04,219.0
2021-09-05,259.0
2021-09-06,191.0
2021-09-07,241.0
2021-09-08,332.0
2021-09-09,349.0
2021-09-10,457.0
2021-09-11,573.0
2021-09-12,555.0
2021-09-13,520.0
2021-09-14,607.0
2021-09-15,837.0
2021-09-16,807.0
2021-09-17,910.0
2021-09-18,935.0
2021-09-19,1009.0
2021-09-20,1012.0
2021-09-21,0.0
2021-09-22,2095.0
2021-09-24,2961.0
2021-09-25,1650.0
2021-09-26,1443.0
2021-09-27,1939.0
